Symbol,Name,Sector
ATVI,Activision Blizzard,Information Technology
AET,Aetna Inc,Health Care
ALXN,Alexion Pharmaceuticals,Health Care
AGN,"Allergan, Plc",Health Care
ADS,Alliance Data Systems,Information Technology
ABC,AmerisourceBergen Corp,Health Care
APC,Anadarko Petroleum Corp,Energy
ANDV,Andeavor,Energy
ANTM,Anthem Inc.,Health Care
ARNC,Arconic Inc,Industrials
BHGE,"Baker Hughes, a GE Company",Energy
BLL,Ball Corp,Materials
BBT,BB&T Corporation,Financials
BRK.B,Berkshire Hathaway,Financials
BF.B,Brown-Forman Corp.,Consumer Staples
COG,Cabot Oil & Gas,Energy
CBG,CBRE Group,Real Estate
CBS,CBS Corp.,Consumer Discretionary
CELG,Celgene Corp.,Health Care
CTL,CenturyLink Inc,Telecommunication Services
CERN,Cerner,Health Care
CHK,Chesapeake Energy,Energy
XEC,Cimarex Energy,Energy
CTXS,Citrix Systems,Information Technology
CXO,Concho Resources,Energy
CSRA,CSRA Inc.,Information Technology
DISCA,Discovery Communications-A,Consumer Discretionary
DISCK,Discovery Communications-C,Consumer Discretionary
DISH,Dish Network,Consumer Discretionary
DWDP,DowDuPont,Materials
DPS,Dr Pepper Snapple Group,Consumer Staples
DRE,Duke Realty Corp,Real Estate
ETFC,E*Trade,Financials
EVHC,Envision Healthcare,Health Care
RE,Everest Re Group Ltd.,Financials
ESRX,Express Scripts,Health Care
FB,"Facebook, Inc.",Information Technology
FLIR,FLIR Systems,Information Technology
FBHS,Fortune Brands Home & Security,Industrials
GPS,Gap Inc.,Consumer Discretionary
GGP,General Growth Properties Inc.,Real Estate
HRS,Harris Corporation,Information Technology
JEC,Jacobs Engineering Group,Industrials
KSU,Kansas City Southern,Industrials
LLL,L-3 Communications Holdings,Industrials
LUK,Leucadia National Corp.,Financials
KORS,Michael Kors Holdings,Consumer Discretionary
MON,Monsanto Co.,Materials
MYL,Mylan N.V.,Health Care
NFX,Newfield Exploration Co,Energy
NLSN,Nielsen Holdings,Industrials
NBL,Noble Energy Inc,Energy
PBCT,People's United Financial,Financials
PKI,PerkinElmer,Health Care
PXD,Pioneer Natural Resources,Energy
PCLN,Priceline.com Inc,Consumer Discretionary
RTN,Raytheon Co.,Industrials
RHT,Red Hat Inc.,Information Technology
COL,Rockwell Collins,Industrials
SCG,SCANA Corp,Utilities
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary
SYMC,Symantec Corp.,Information Technology
TIF,Tiffany & Co.,Consumer Discretionary
TWX,Time Warner Inc.,Consumer Discretionary
TMK,Torchmark Corp.,Financials
TSS,Total System Services,Information Technology
UTX,United Technologies,Industrials
VAR,Varian Medical Systems,Health Care
VIAB,Viacom Inc.,Consumer Discretionary
HCN,Welltower Inc.,Real Estate
WRK,WestRock Company,Materials
WLTW,Willis Towers Watson,Financials
WYN,Wyndham Worldwide,Consumer Discretionary
XLNX,Xilinx Inc,Information Technology
XL,XL Capital,Financials
